lambda_nm,vprime,
650,0.1418991685,
649.9000244,0.1412061006,
649.7999878,0.1423437446,
649.7000122,0.1431106478,
649.5999756,0.143066138,
649.5,0.1365427226,
649.4000244,0.1331348419,
649.2999878,0.1338776499,
649.2000122,0.1339591444,
649.0999756,0.1339944601,
649,0.1345971227,
648.9000244,0.1347257048,
648.7999878,0.1347597837,
648.7000122,0.1349949241,
648.5999756,0.1339671165,
648.5,0.1340863407,
648.4000244,0.134245351,
648.2999878,0.1346853971,
648.2000122,0.1349289566,
648.0999756,0.1347889006,
648,0.1353263557,
647.9000244,0.1353706867,
647.7999878,0.1355006993,
647.7000122,0.1362176687,
647.5999756,0.1363169998,
647.5,0.1370671242,
647.4000244,0.1376660317,
647.2999878,0.1380648464,
647.2000122,0.1381296664,
647.0999756,0.1386143863,
647,0.1396563053,
646.9000244,0.1402223408,
646.7999878,0.1397659332,
646.7000122,0.1399205923,
646.5999756,0.1405731887,
646.5,0.1409040987,
646.4000244,0.1424797475,
646.2999878,0.1423195601,
646.2000122,0.1429924816,
646.0999756,0.1437600255,
646,0.1442315876,
645.9000244,0.1454634219,
645.7999878,0.1459303498,
645.7000122,0.145224005,
645.5999756,0.139280349,
645.5,0.1384517699,
645.4000244,0.138862744,
645.2999878,0.1397572458,
645.2000122,0.1400660574,
645.0999756,0.1405798793,
645,0.1413976997,
644.9000244,0.14204368,
644.7999878,0.142351076,
644.7000122,0.1366400719,
644.5999756,0.1321208626,
644.5,0.1319743842,
644.4000244,0.1326552927,
644.2999878,0.1327321678,
644.2000122,0.1335797608,
644.0999756,0.1334165335,
644,0.1339431107,
643.9000244,0.1336386353,
643.7999878,0.1341113001,
643.7000122,0.1345791668,
643.5999756,0.1351691782,
643.5,0.1347125471,
643.4000244,0.1352849603,
643.2999878,0.1349405348,
643.2000122,0.1357953846,
643.0999756,0.1367866844,
643,0.1372454613,
642.9000244,0.1377734542,
642.7999878,0.1379251629,
642.7000122,0.1383288503,
642.5999756,0.1391372532,
642.5,0.1393188834,
642.4000244,0.1405800581,
642.2999878,0.1416223794,
642.2000122,0.1424462199,
642.0999756,0.1428286135,
642,0.1437050998,
641.9000244,0.1439292133,
641.7999878,0.1422840804,
641.7000122,0.1427131891,
641.5999756,0.143566981,
641.5,0.1442954838,
641.4000244,0.1448627263,
641.2999878,0.1465010643,
641.2000122,0.1475477368,
641.0999756,0.1480430067,
641,0.149834007,
640.9000244,0.1483483762,
640.7999878,0.1397240311,
640.7000122,0.1374981999,
640.5999756,0.1375374645,
640.5,0.1384447217,
640.4000244,0.1393027902,
640.2999878,0.1400202513,
640.2000122,0.1407846957,
640.0999756,0.1386023462,
640,0.133624509,
639.9000244,0.1324788928,
639.7999878,0.13261953,
639.7000122,0.1329497099,
639.5999756,0.1334834695,
639.5,0.1337033212,
639.4000244,0.1341179609,
639.2999878,0.1349535733,
639.2000122,0.1358976364,
639.0999756,0.134822309,
639,0.1356024146,
638.9000244,0.1360656172,
638.7999878,0.1367020905,
638.7000122,0.1369898617,
638.5999756,0.1377893835,
638.5,0.1383258551,
638.4000244,0.1394327134,
638.2999878,0.1396297067,
638.2000122,0.1407193393,
638.0999756,0.1405163407,
638,0.1415787637,
637.9000244,0.1417630613,
637.7999878,0.1432896554,
637.7000122,0.1442646384,
637.5999756,0.1453354508,
637.5,0.1463635862,
637.4000244,0.147146374,
637.2999878,0.1480691433,
637.2000122,0.1499001682,
637.0999756,0.1495854855,
637,0.1459532082,
636.9000244,0.1460373551,
636.7999878,0.1467588544,
636.7000122,0.1478949636,
636.5999756,0.1490721405,
636.5,0.1505569667,
636.4000244,0.1514395773,
636.2999878,0.1523676664,
636.2000122,0.1454036385,
636.0999756,0.1357649565,
636,0.1362238973,
635.9000244,0.1364919245,
635.7999878,0.136920169,
635.7000122,0.137900129,
635.5999756,0.1372192353,
635.5,0.1333849281,
635.4000244,0.1326896846,
635.2999878,0.1333362162,
635.2000122,0.1337446272,
635.0999756,0.1346215159,
635,0.1340544522,
634.9000244,0.1348065883,
634.7999878,0.1350086778,
634.7000122,0.1355219185,
634.5999756,0.1358839273,
634.5,0.1367972791,
634.4000244,0.1374450922,
634.2999878,0.1389377415,
634.2000122,0.138669312,
634.0999756,0.1395231783,
634,0.1408981234,
633.9000244,0.1410051286,
633.7999878,0.1425355524,
633.7000122,0.1434734315,
633.5999756,0.1443491578,
633.5,0.1457191408,
633.4000244,0.1466964632,
633.2999878,0.1473187059,
633.2000122,0.1475338936,
633.0999756,0.1485674977,
633,0.149652198,
632.9000244,0.1509542763,
632.7999878,0.1528092921,
632.7000122,0.1543417424,
632.5999756,0.1551703364,
632.5,0.1570854187,
632.4000244,0.1546719372,
632.2999878,0.1483802497,
632.2000122,0.1479172707,
632.0999756,0.1494046301,
632,0.1503396481,
631.9000244,0.1511206031,
631.7999878,0.1532489657,
631.7000122,0.150330022,
631.5999756,0.1366893649,
631.5,0.1336650103,
631.4000244,0.1337682009,
631.2999878,0.1351085752,
631.2000122,0.1345395744,
631.0999756,0.1333454102,
631,0.1330361664,
630.9000244,0.1332639158,
630.7999878,0.1331928819,
630.7000122,0.1336882412,
630.5999756,0.1344831884,
630.5,0.1344787776,
630.4000244,0.1357099265,
630.2999878,0.1367815733,
630.2000122,0.1379756033,
630.0999756,0.1382900178,
630,0.139105767,
629.9000244,0.1399201006,
629.7999878,0.1410916299,
629.7000122,0.1424317062,
629.5999756,0.1429509968,
629.5,0.1446023732,
